,car_model,year_of_manufacture,price,fuel
0,alto k10,2016.0,4253.73,Petrol
1,ignis,2017.0,7313.43,Petrol
2,sx4,2011.0,6567.16,Petrol
3,alto k10,2014.0,3731.34,Petrol
4,wagon r,2013.0,4328.36,Petrol
5,swift,2011.0,4477.61,Petrol
6,swift,2013.0,6194.03,Petrol
7,swift,2017.0,8955.22,Petrol
8,alto k10,2010.0,2910.45,Petrol
9,ciaz,2015.0,11119.4,Diesel
10,alto 800,2017.0,4253.73,Petrol
11,ciaz,2015.0,10223.88,Diesel
12,ciaz,2015.0,11194.03,Petrol
13,ertiga,2015.0,9104.48,Petrol
14,dzire,2009.0,3358.21,Petrol
15,ertiga,2016.0,11567.16,Diesel
16,ertiga,2015.0,10820.9,Diesel
17,ertiga,2016.0,11567.16,Diesel
18,wagon r,2015.0,4850.75,CNG
19,sx4,2010.0,3955.22,Petrol
20,baleno,2016.0,8731.34,Petrol
21,alto k10,2014.0,3805.97,Petrol
22,sx4,2008.0,2910.45,Petrol
23,dzire,2014.0,8208.96,Diesel
24,omni,2012.0,1865.67,Petrol
25,ciaz,2014.0,11194.03,Petrol
26,ritz,2013.0,3955.22,Petrol
27,wagon r,2006.0,1567.16,Petrol
28,ertiga,2015.0,8656.72,Petrol
29,ciaz,2017.0,11567.16,Petrol
30,ritz,2012.0,4626.87,Diesel
31,ritz,2011.0,3507.46,Petrol
32,swift,2014.0,7388.06,Diesel
33,ertiga,2014.0,8955.22,Diesel
34,dzire,2014.0,8208.96,Diesel
35,sx4,2011.0,4402.99,CNG
36,dzire,2015.0,6940.3,Petrol
37,800,2003.0,522.39,Petrol
38,alto k10,2016.0,4477.61,Petrol
39,sx4,2003.0,3358.21,Petrol
40,etios liva,2014.0,5895.52,Diesel
41,corolla altis,2011.0,6716.42,Diesel
42,corolla altis,2013.0,11119.4,Petrol
43,etios liva,2011.0,3955.22,Petrol
44,etios cross,2014.0,7313.43,Diesel
45,etios g,2015.0,5895.52,Petrol
46,corolla altis,2013.0,8208.96,Petrol
47,corolla,2004.0,2238.81,Petrol
48,corolla altis,2010.0,7835.82,Petrol
49,fortuner,2012.0,21641.79,Diesel
50,corolla altis,2013.0,10373.13,Petrol
51,etios cross,2015.0,6716.42,Petrol
52,fortuner,2014.0,27985.07,Diesel
53,fortuner,2015.0,35074.63,Diesel
54,fortuner,2017.0,49253.73,Diesel
55,etios liva,2014.0,7089.55,Diesel
56,innova,2017.0,29477.61,Petrol
57,fortuner,2010.0,13805.97,Diesel
58,corolla altis,2011.0,6492.54,Petrol
59,corolla altis,2016.0,21268.66,Petrol
60,fortuner,2012.0,22238.81,Diesel
61,fortuner,2015.0,34328.36,Diesel
62,innova,2017.0,26865.67,Diesel
63,fortuner,2013.0,23880.6,Diesel
64,innova,2005.0,4104.48,Petrol
65,corolla altis,2009.0,5373.13,Petrol
66,etios cross,2015.0,6716.42,Petrol
67,corolla altis,2010.0,7089.55,Petrol
68,etios g,2014.0,6119.4,Petrol
69,fortuner,2014.0,29835.82,Diesel
70,corolla altis,2016.0,21985.07,Diesel
71,etios gd,2015.0,7089.55,Diesel
72,innova,2017.0,34328.36,Diesel
73,innova,2015.0,18656.72,Diesel
74,innova,2005.0,5208.96,Diesel
75,camry,2006.0,3731.34,Petrol
76,land cruiser,2010.0,52238.81,Diesel
77,corolla altis,2012.0,8805.97,Petrol
78,etios liva,2013.0,5149.25,Petrol
79,etios g,2014.0,7089.55,Petrol
80,ritz,2014.0,5000.0,Petrol
81,sx4,2013.0,7089.55,Diesel
82,ciaz,2017.0,10820.9,Petrol
83,wagon r,2011.0,4253.73,Petrol
84,swift,2014.0,6865.67,Diesel
85,vitara brezza,2018.0,13805.97,Diesel
86,ciaz,2015.0,10074.63,Petrol
87,s cross,2015.0,9701.49,Diesel
88,ciaz,2016.0,13059.7,Diesel
89,ciaz,2015.0,11119.4,Diesel
